aleatoric,epistemic
9.347552061080932617e-02,3.418426960706710815e-02
3.577172756195068359e-02,1.741913612931966782e-03
1.368385553359985352e-01,7.976806163787841797e-02
8.523023128509521484e-02,8.519578725099563599e-03
1.347787976264953613e-01,4.012288525700569153e-02
1.727969646453857422e-01,4.238395020365715027e-02
1.435993909835815430e-01,6.335946172475814819e-02
9.004825353622436523e-02,1.078677177429199219e-02
7.959574460983276367e-02,4.846901819109916687e-02
5.453157424926757812e-02,9.009496308863162994e-03
9.009391069412231445e-02,3.168209642171859741e-02
1.582647562026977539e-01,2.652230858802795410e-02
9.652328491210937500e-02,7.972472347319126129e-03
3.839278221130371094e-02,1.324806711636483669e-03
2.718001604080200195e-02,1.023578923195600510e-03
7.314443588256835938e-03,1.977220672415569425e-04
6.036400794982910156e-03,1.036429748637601733e-04
1.381576061248779297e-02,3.128444310277700424e-03
1.631230115890502930e-02,1.708440249785780907e-03
2.934259176254272461e-02,8.873664774000644684e-03
2.316558361053466797e-02,7.167757954448461533e-03
4.771614074707031250e-02,4.487865418195724487e-02
1.131784915924072266e-02,1.279897114727646112e-04
5.408048629760742188e-02,8.431715890765190125e-03
6.121635437011718750e-02,4.071859642863273621e-03
1.966106891632080078e-02,1.216229051351547241e-03
1.967245340347290039e-02,7.660752162337303162e-04
1.422828435897827148e-02,1.163164037279784679e-03
3.731441497802734375e-02,2.538025751709938049e-02
3.503513336181640625e-02,3.824619809165596962e-03
5.180573463439941406e-02,7.262369617819786072e-03
7.261586189270019531e-02,1.245156209915876389e-02
5.425000190734863281e-02,4.833906888961791992e-03
1.254757642745971680e-01,2.052629739046096802e-02
3.486502170562744141e-02,1.321244868449866772e-03
4.451256990432739258e-02,1.716639730148017406e-03
4.321831464767456055e-02,2.556298626586794853e-03
7.066279649734497070e-02,4.610463045537471771e-03
9.572285413742065430e-02,7.685847114771604538e-03
6.148695945739746094e-02,9.817833080887794495e-03
1.153135299682617188e-01,1.113321818411350250e-02
6.463807821273803711e-02,2.485065348446369171e-02
1.550112962722778320e-01,2.502677403390407562e-02
1.803013980388641357e-01,5.032597854733467102e-02
7.696861028671264648e-02,2.576976642012596130e-02
9.389096498489379883e-02,2.633081935346126556e-02
6.550991535186767578e-02,5.715569481253623962e-03
5.733275413513183594e-02,2.287334576249122620e-02
7.157355546951293945e-02,4.647133406251668930e-03
1.535910367965698242e-02,2.627768553793430328e-04
5.229538679122924805e-02,1.189520396292209625e-02
1.618915796279907227e-02,9.222691296599805355e-04
3.889137506484985352e-02,6.419426761567592621e-03
4.636907577514648438e-02,5.013295914977788925e-03
5.117148160934448242e-02,3.982681781053543091e-03
7.428956031799316406e-02,1.959680765867233276e-02
8.159023523330688477e-02,2.481107972562313080e-02
8.715444803237915039e-02,1.321655325591564178e-02
9.718972444534301758e-02,6.462770514190196991e-03
1.519366502761840820e-01,1.549396477639675140e-02
7.851076126098632812e-02,7.580171339213848114e-03
1.528877019882202148e-01,3.520140796899795532e-02
8.728969097137451172e-02,5.265734158456325531e-03
1.794201731681823730e-01,1.896551996469497681e-02
1.322080492973327637e-01,1.195746660232543945e-02
1.372840404510498047e-01,1.082993112504482269e-02
5.993086099624633789e-02,5.009560845792293549e-03
4.815834760665893555e-02,3.925850614905357361e-03
5.396735668182373047e-02,7.129295729100704193e-03
4.791104793548583984e-02,3.101088572293519974e-03
8.810240030288696289e-02,8.618551306426525116e-03
7.842075824737548828e-02,1.217188220471143723e-02
5.549222230911254883e-02,5.664629861712455750e-03
4.306739568710327148e-02,2.619456965476274490e-03
1.098799705505371094e-01,9.681766852736473083e-03
1.227415800094604492e-01,1.178885158151388168e-02
1.462525725364685059e-01,3.236929327249526978e-02
1.587513685226440430e-01,1.738880015909671783e-02
9.158217906951904297e-02,8.358609862625598907e-03
1.821289658546447754e-01,2.121517993509769440e-02
1.694011688232421875e-01,1.944323442876338959e-02
2.199175655841827393e-01,1.611041277647018433e-02
1.879502534866333008e-01,1.963262632489204407e-02
1.775622665882110596e-01,5.423142388463020325e-02
1.932279467582702637e-01,2.673054859042167664e-02
1.897234916687011719e-01,2.118173614144325256e-02
1.877561807632446289e-01,1.296774856746196747e-02
2.055105566978454590e-01,1.325596682727336884e-02
1.947974860668182373e-01,3.138246014714241028e-02
1.538736820220947266e-01,4.413544759154319763e-02
1.992981135845184326e-01,3.095963783562183380e-02
1.357342600822448730e-01,2.900617755949497223e-02
9.381967782974243164e-02,6.438801065087318420e-03
1.378634572029113770e-01,5.647053942084312439e-02
9.857344627380371094e-02,1.309814210981130600e-02
1.438944339752197266e-01,2.009667269885540009e-02
1.033222675323486328e-01,1.038381829857826233e-02
1.341220736503601074e-01,2.919862046837806702e-02
1.420878767967224121e-01,2.680242247879505157e-02
1.751329302787780762e-01,1.650195010006427765e-02
1.492143869400024414e-01,1.516563538461923599e-02
1.881697773933410645e-01,2.079611830413341522e-02
1.957117319107055664e-01,2.312985248863697052e-02
1.558402180671691895e-01,2.127874642610549927e-02
1.876387000083923340e-01,1.325561292469501495e-02
1.357377767562866211e-01,2.030959352850914001e-02
1.101419925689697266e-01,1.526920311152935028e-02
1.119263172149658203e-01,1.173255871981382370e-02
1.190568208694458008e-01,8.503818884491920471e-03
1.546322107315063477e-01,2.136915549635887146e-02
